iter	Passed	Remaining
0	2179	651581
1	4243	632316
2	6572	650636
3	8868	656255
4	12209	720340
5	14644	717568
6	16754	701291
7	19016	694107
8	21331	689702
9	24302	704763
10	27132	712857
11	29415	705962
12	31694	699718
13	33973	694030
14	36238	688523
15	39871	707714
16	41984	698910
17	44182	692185
18	46323	685097
19	48566	679927
20	51607	685644
21	54324	686469
22	56435	679683
23	58690	674938
24	60960	670566
25	63475	668929
26	66964	677084
27	68938	669691
28	70999	663477
29	73232	659089
30	75190	652457
31	77588	649803
32	80860	654236
33	83076	649949
34	85339	646141
35	87706	643182
36	89944	639337
37	93784	646617
38	95879	641658
39	98002	637014
40	100098	632327
41	102251	628113
42	104766	626159
43	107719	626733
44	109818	622307
45	111825	617470
46	113881	613020
47	116006	609034
48	119035	609751
49	121677	608386
50	124002	605422
51	126314	602421
52	128414	598459
53	130947	596538
54	134277	598145
55	136538	594919
56	138636	591029
57	140893	587865
58	143183	584867
59	147040	588160
60	149313	585016
61	151595	581931
62	153881	578887
63	155978	575171
64	159316	575990
65	162073	574623
66	164309	571405
67	166574	568312
68	168844	565262
69	171424	563250
70	174724	563548
71	177061	560694
72	179347	557695
73	181698	554915
74	184075	552226
75	187799	553514
76	190063	550442
77	192332	547407
78	194638	544495
79	196990	541724
80	200596	542354
81	203095	539936
82	205367	536924
83	207703	534095
84	209892	530905
85	213446	531135
86	216139	529170
87	218386	526113
88	220655	523126
89	222774	519807
90	225510	517929
91	228909	517533
92	231210	514628
93	233445	511593
94	235720	508660
95	238013	505778
96	241813	506062
97	244083	503110
98	246209	499879
99	248498	496997
100	250839	494228
101	254331	493702
102	256652	490878
103	258767	487677
104	261041	484790
105	263291	481874
106	265945	479696
107	269157	478501
108	271439	475642
109	273689	472736
110	275758	469534
111	278025	466685
112	281587	465989
113	283972	463323
114	286216	460435
115	288439	457524
116	290668	454634
117	293722	453029
118	296668	451234
119	298837	448255
120	300890	445118
121	302947	442005
122	305177	439157
123	308704	438161
124	311050	435471
125	313309	432666
126	315533	429821
127	317775	427010
128	320815	425267
129	323833	423474
130	325938	420486
131	328078	417554
132	330291	414726
133	332666	412109
134	336511	411291
135	338620	408337
136	340697	405354
137	342783	402397
138	344993	399596
139	347996	397710
140	350782	395563
141	353042	392821
142	355311	390096
143	357550	387346
144	359863	384681
145	363576	383498
146	365865	380798
147	368071	378019
148	370317	375287
149	372395	372395
150	375486	370513
151	378032	368083
152	380325	365411
153	382548	362675
154	384774	359949
155	387415	357614
156	390648	355813
157	392873	353089
158	394973	350259
159	397121	347480
160	399320	344754
161	402672	343017
162	405236	340597
163	407497	337924
164	409739	335241
165	411924	332517
166	414691	330263
167	417937	328379
168	420045	325597
169	422257	322902
170	424481	320223
171	426785	317607
172	430172	315791
173	432648	313297
174	434881	310629
175	437106	307961
176	439373	305327
177	441957	302914
178	445052	300845
179	447003	298002
180	449039	295225
181	451328	292619
182	453744	290098
183	456883	288035
184	459692	285754
185	462013	283169
186	464117	280456
187	466416	277865
188	469098	275502
189	472467	273533
190	474760	270936
191	477045	268338
192	479256	265701
193	481494	263084
194	484831	261062
195	486978	258396
196	488975	255657
197	491164	253023
198	493121	250277
199	495016	247508
200	498331	245446
201	500660	242894
202	502918	240310
203	505042	237667
204	507246	235065
205	509662	232564
206	512528	230266
207	514620	227620
208	516715	224981
209	518645	222276
210	520548	219567
211	522869	217040
212	525939	214820
213	528007	212189
214	530073	209563
215	532215	206972
216	534477	204431
217	537687	202249
218	540212	199804
219	542446	197253
220	544621	194683
221	546617	192054
222	548651	189444
223	552102	187320
224	554238	184746
225	556330	182161
226	558397	179572
227	560495	176998
228	562811	174496
229	566075	172283
230	568191	169719
231	570347	167170
232	572609	164656
233	574822	162129
234	578466	160001
235	580778	157499
236	582990	154972
237	585184	152443
238	587458	149937
239	590398	147599
240	593412	145275
241	595625	142753
242	597822	140230
243	600027	137711
244	602140	135174
245	605734	132966
246	608004	130462
247	610214	127948
248	612390	125429
249	614566	122913
250	617735	120593
251	620556	118201
252	622757	115690
253	624961	113181
254	627208	110683
255	629298	108160
256	632891	105892
257	635121	103391
258	637376	100897
259	639464	98379
260	641413	95843
261	644071	93414
262	647021	91025
263	649232	88531
264	651503	86047
265	653755	83562
266	655822	81056
267	659404	78734
268	661767	76263
269	663958	73773
270	666151	71285
271	668377	68803
272	671214	66383
273	674489	64002
274	676840	61530
275	679206	59061
276	681597	56594
277	684237	54148
278	687780	51768
279	690093	49292
280	692539	46826
281	694813	44349
282	697070	41873
283	700869	39485
284	703128	37006
285	705122	34516
286	707237	32035
287	709542	29564
288	712595	27123
289	715625	24676
290	717938	22204
291	720074	19728
292	722374	17258
293	724834	14792
294	728473	12347
295	730742	9874
296	732903	7403
297	735178	4934
298	737507	2466
299	741274	0
